Date,Sales
2020-01-01,1200
2020-02-01,1500
2020-03-01,1700
2020-04-01,2000
2020-05-01,2200
2020-06-01,2500
2020-07-01,3000
2020-08-01,3300
2020-09-01,3100
2020-10-01,4000
2020-11-01,4500
2020-12-01,4300
2021-01-01,5000
2021-02-01,5200
2021-03-01,5400
2021-04-01,6000
2021-05-01,6200
2021-06-01,6300
2021-07-01,7000
2021-08-01,7200
2021-09-01,7500
2021-10-01,8000
2021-11-01,8500
2021-12-01,9000
2022-01-01,9100
2022-02-01,9200
2022-03-01,9300
2022-04-01,9400
2022-05-01,9500
2022-06-01,9600
2022-07-01,9700
2022-08-01,9800
2022-09-01,9900
2022-10-01,10000
2022-11-01,10100
2022-12-01,10200
