date,sales
2018-01-01,5138
2018-01-31,2873
2018-03-02,3902
2018-04-01,4375
2018-05-01,7756
2018-05-31,2695
2018-06-30,7290
2018-07-30,6249
2018-08-29,7550
2018-09-28,2038
2018-10-28,7718
2018-11-27,6578
2018-12-27,5547
2019-01-26,7541
2019-02-25,6956
2019-03-27,5680
2019-04-26,4925
2019-05-26,3132
2019-06-25,3111
2019-07-25,6066
2019-08-24,5655
2019-09-23,2856
2019-10-23,6290
2019-11-22,5880
2019-12-22,4416
2020-01-21,7286
2020-02-20,3026
2020-03-21,2686
2020-04-20,2188
2020-05-20,2199
2020-06-19,2831
2020-07-19,7161
2020-08-18,6963
2020-09-17,4690
2020-10-17,7725
2020-11-16,2098
2020-12-16,4827
2021-01-15,3169
2021-02-14,5067
2021-03-16,4607
2021-04-15,4727
2021-05-15,5206
2021-06-14,7884
2021-07-14,7613
2021-08-13,2442
2021-09-12,3644
2021-10-12,4553
2021-11-11,5401
2021-12-11,4972
2022-01-10,4696
2022-02-09,6967
2022-03-11,4808
2022-04-10,2585
2022-05-10,3595
2022-06-09,2608
2022-07-09,5731
2022-08-08,6726
2022-09-07,4370
2022-10-07,3059
2022-11-06,5680
